name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,247,1,112,35,18,34,0,21,26,2021-05-04,2021-05-04T23:15:49Z
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-05-04,2021-05-04T23:15:49Z
Overseas acquired last 24 hours,10,0,7,0,1,1,0,1,0,2021-05-04,2021-05-04T23:15:49Z
Under investigation last 24 hours,1,0,0,0,0,1,0,0,0,2021-05-04,2021-05-04T23:15:49Z
Locally acquired last 7 days,3,0,0,0,0,0,0,0,3,2021-05-04,2021-05-04T23:15:49Z
Overseas acquired last 7 days,116,1,56,2,20,11,0,11,15,2021-05-04,2021-05-04T23:15:49Z
Under investigation last 7 days,1,0,0,0,0,1,0,0,0,2021-05-04,2021-05-04T23:15:49Z
Overseas,7452,95,3312,162,1240,544,85,1113,901,2021-05-04,2021-05-04T23:15:49Z
Locally acquired - contact of confirmed case,17962,25,1644,2,264,152,141,15648,86,2021-05-04,2021-05-04T23:15:49Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-05-04,2021-05-04T23:15:49Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-05-04,2021-05-04T23:15:49Z
Under investigation,1,0,0,0,0,1,0,0,0,2021-05-04,2021-05-04T23:15:49Z
Total cases,29852,124,5496,166,1568,732,234,20524,1008,2021-05-04,2021-05-04T23:15:49Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-05-04,2021-05-04T23:15:49Z
Tests in last 7 days,290315,2415,73647,6242,34332,23646,3977,103079,42977,2021-05-04,2021-05-04T23:15:49Z
"Tests in last 7 days per 100,000 population",1145,567,911,2536,674,1349,744,1563,1639,2021-05-04,2021-05-04T23:15:49Z
Total tests,16976949,200796,5680078,180462,2474437,1279990,213282,5863187,1084717,2021-05-04,2021-05-04T23:15:49Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-05-04,2021-05-04T23:15:49Z
