name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,285,1,129,49,29,31,0,23,23,2021-05-01,2021-05-01T23:18:57Z
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-05-01,2021-05-01T23:18:57Z
Overseas acquired last 24 hours,10,0,4,0,0,2,0,3,1,2021-05-01,2021-05-01T23:18:57Z
Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-05-01,2021-05-01T23:18:57Z
Locally acquired last 7 days,1,0,0,0,0,0,0,0,1,2021-05-01,2021-05-01T23:18:57Z
Overseas acquired last 7 days,138,1,62,7,22,18,0,13,15,2021-05-01,2021-05-01T23:18:57Z
Under investigation last 7 days,3,0,0,0,0,3,0,0,0,2021-05-01,2021-05-01T23:18:57Z
Overseas,7415,95,3297,162,1233,537,85,1110,896,2021-05-01,2021-05-01T23:18:57Z
Locally acquired - contact of confirmed case,17959,25,1644,2,264,152,141,15648,83,2021-05-01,2021-05-01T23:18:57Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-05-01,2021-05-01T23:18:57Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-05-01,2021-05-01T23:18:57Z
Under investigation,1,0,0,0,0,1,0,0,0,2021-05-01,2021-05-01T23:18:57Z
Total cases,29812,124,5481,166,1561,725,234,20521,1000,2021-05-01,2021-05-01T23:18:57Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-05-01,2021-05-01T23:18:57Z
Tests in last 7 days,320788,2252,71037,6629,34274,25184,4224,108306,68882,2021-05-01,2021-05-01T23:18:57Z
"Tests in last 7 days per 100,000 population",1265,528,879,2694,673,1437,790,1643,2627,2021-05-01,2021-05-01T23:18:57Z
Total tests,16877232,199935,5657557,178241,2464657,1271818,212114,5824918,1067992,2021-05-01,2021-05-01T23:18:57Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-05-01,2021-05-01T23:18:57Z
