name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,246,1,110,35,17,35,0,21,27,2021-05-03,2021-05-03T23:15:35Z
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-05-03,2021-05-03T23:15:35Z
Overseas acquired last 24 hours,15,0,5,0,3,3,0,1,3,2021-05-03,2021-05-03T23:15:35Z
Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-05-03,2021-05-03T23:15:35Z
Locally acquired last 7 days,3,0,0,0,0,0,0,0,3,2021-05-03,2021-05-03T23:15:35Z
Overseas acquired last 7 days,128,1,61,2,21,10,0,14,19,2021-05-03,2021-05-03T23:15:35Z
Under investigation last 7 days,5,0,0,0,0,5,0,0,0,2021-05-03,2021-05-03T23:15:35Z
Overseas,7441,95,3305,162,1239,542,85,1112,901,2021-05-03,2021-05-03T23:15:35Z
Locally acquired - contact of confirmed case,17962,25,1644,2,264,152,141,15648,86,2021-05-03,2021-05-03T23:15:35Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-05-03,2021-05-03T23:15:35Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-05-03,2021-05-03T23:15:35Z
Under investigation,1,0,0,0,0,1,0,0,0,2021-05-03,2021-05-03T23:15:35Z
Total cases,29841,124,5489,166,1567,730,234,20523,1008,2021-05-03,2021-05-03T23:15:35Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-05-03,2021-05-03T23:15:35Z
Tests in last 7 days,331037,2137,72836,5808,34711,23614,4008,105629,82294,2021-05-03,2021-05-03T23:15:35Z
"Tests in last 7 days per 100,000 population",1305,501,901,2360,682,1348,750,1602,3139,2021-05-03,2021-05-03T23:15:35Z
Total tests,16946216,200291,5674477,179319,2471894,1277209,212760,5848862,1081404,2021-05-03,2021-05-03T23:15:35Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-05-03,2021-05-03T23:15:35Z
