name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,272,1,120,41,28,33,0,23,26,2021-05-02,2021-05-02T23:16:57Z
Locally acquired last 24 hours,3,0,0,0,0,0,0,0,3,2021-05-02,2021-05-02T23:16:57Z
Overseas acquired last 24 hours,8,0,3,0,0,2,0,1,2,2021-05-02,2021-05-02T23:16:57Z
Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-05-02,2021-05-02T23:16:57Z
Locally acquired last 7 days,3,0,0,0,0,0,0,0,3,2021-05-02,2021-05-02T23:16:57Z
Overseas acquired last 7 days,139,1,64,6,20,19,0,13,16,2021-05-02,2021-05-02T23:16:57Z
Under investigation last 7 days,4,0,0,0,0,4,0,0,0,2021-05-02,2021-05-02T23:16:57Z
Overseas,7426,95,3300,162,1236,539,85,1111,898,2021-05-02,2021-05-02T23:16:57Z
Locally acquired - contact of confirmed case,17962,25,1644,2,264,152,141,15648,86,2021-05-02,2021-05-02T23:16:57Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-05-02,2021-05-02T23:16:57Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-05-02,2021-05-02T23:16:57Z
Under investigation,1,0,0,0,0,1,0,0,0,2021-05-02,2021-05-02T23:16:57Z
Total cases,29826,124,5484,166,1564,727,234,20522,1005,2021-05-02,2021-05-02T23:16:57Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-05-02,2021-05-02T23:16:57Z
Tests in last 7 days,319572,2130,72331,6070,34360,24969,4181,106649,68882,2021-05-02,2021-05-02T23:16:57Z
"Tests in last 7 days per 100,000 population",1260,500,895,2466,675,1425,782,1617,2627,2021-05-02,2021-05-02T23:16:57Z
Total tests,16907151,200072,5666557,178859,2468776,1275190,212503,5837202,1067992,2021-05-02,2021-05-02T23:16:57Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-05-02,2021-05-02T23:16:57Z
