name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,257,0,100,52,17,33,0,27,28,2021-04-27,2021-04-27T23:19:29Z
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-27,2021-04-27T23:19:29Z
Overseas acquired last 24 hours,23,0,12,0,2,1,0,4,4,2021-04-27,2021-04-27T23:19:29Z
Under investigation last 24 hours,2,0,0,0,0,2,0,0,0,2021-04-27,2021-04-27T23:19:29Z
Locally acquired last 7 days,3,0,0,0,0,0,0,1,2,2021-04-27,2021-04-27T23:19:29Z
Overseas acquired last 7 days,143,0,53,35,12,20,0,13,10,2021-04-27,2021-04-27T23:19:29Z
Under investigation last 7 days,10,0,0,0,2,8,0,0,0,2021-04-27,2021-04-27T23:19:29Z
Overseas,7327,94,3256,160,1213,531,85,1102,886,2021-04-27,2021-04-27T23:19:29Z
Locally acquired - contact of confirmed case,17959,25,1644,2,264,152,141,15648,83,2021-04-27,2021-04-27T23:19:29Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-27,2021-04-27T23:19:29Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-27,2021-04-27T23:19:29Z
Under investigation,2,0,0,0,0,2,0,0,0,2021-04-27,2021-04-27T23:19:29Z
Total cases,29725,123,5440,164,1541,720,234,20513,990,2021-04-27,2021-04-27T23:19:29Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-27,2021-04-27T23:19:29Z
Tests in last 7 days,272653,2075,60672,6261,31396,21478,4220,96365,50186,2021-04-27,2021-04-27T23:19:29Z
"Tests in last 7 days per 100,000 population",1075,487,750,2544,617,1226,789,1461,1914,2021-04-27,2021-04-27T23:19:29Z
Total tests,16686634,198381,5606431,174220,2440105,1256344,209305,5760108,1041740,2021-04-27,2021-04-27T23:19:29Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-27,2021-04-27T23:19:29Z
