name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,249,0,95,53,17,32,0,23,29,2021-04-26,2021-04-26T23:19:19Z
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-26,2021-04-26T23:19:19Z
Overseas acquired last 24 hours,25,0,8,4,2,11,0,0,0,2021-04-26,2021-04-26T23:19:19Z
Under investigation last 24 hours,2,0,0,0,0,2,0,0,0,2021-04-26,2021-04-26T23:19:19Z
Locally acquired last 7 days,3,0,0,0,0,0,0,1,2,2021-04-26,2021-04-26T23:19:19Z
Overseas acquired last 7 days,135,0,44,41,10,21,0,10,9,2021-04-26,2021-04-26T23:19:19Z
Under investigation last 7 days,8,0,0,0,2,6,0,0,0,2021-04-26,2021-04-26T23:19:19Z
Overseas,7298,94,3245,160,1204,530,85,1098,882,2021-04-26,2021-04-26T23:19:19Z
Locally acquired - contact of confirmed case,17958,25,1643,2,264,152,141,15648,83,2021-04-26,2021-04-26T23:19:19Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-26,2021-04-26T23:19:19Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-26,2021-04-26T23:19:19Z
Under investigation,2,0,0,0,0,2,0,0,0,2021-04-26,2021-04-26T23:19:19Z
Total cases,29695,123,5428,164,1532,719,234,20509,986,2021-04-26,2021-04-26T23:19:19Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-26,2021-04-26T23:19:19Z
Tests in last 7 days,229076,2348,61667,6435,33407,21345,3925,89532,10417,2021-04-26,2021-04-26T23:19:19Z
"Tests in last 7 days per 100,000 population",903,551,763,2615,656,1218,734,1358,397,2021-04-26,2021-04-26T23:19:19Z
Total tests,16615179,198154,5601641,173511,2437183,1253595,208752,5743233,999110,2021-04-26,2021-04-26T23:19:19Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-26,2021-04-26T23:19:19Z
