name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,256,0,108,52,15,31,0,23,27,2021-04-28,2021-04-28T23:19:15Z
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-28,2021-04-28T23:19:15Z
Overseas acquired last 24 hours,25,0,9,1,9,0,0,2,4,2021-04-28,2021-04-28T23:19:15Z
Under investigation last 24 hours,2,0,0,0,0,2,0,0,0,2021-04-28,2021-04-28T23:19:15Z
Locally acquired last 7 days,3,0,0,0,0,0,0,1,2,2021-04-28,2021-04-28T23:19:15Z
Overseas acquired last 7 days,152,0,56,33,20,19,0,12,12,2021-04-28,2021-04-28T23:19:15Z
Under investigation last 7 days,12,0,0,0,2,10,0,0,0,2021-04-28,2021-04-28T23:19:15Z
Overseas,7351,94,3265,161,1222,530,85,1104,890,2021-04-28,2021-04-28T23:19:15Z
Locally acquired - contact of confirmed case,17959,25,1644,2,264,152,141,15648,83,2021-04-28,2021-04-28T23:19:15Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-28,2021-04-28T23:19:15Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-28,2021-04-28T23:19:15Z
Under investigation,2,0,0,0,0,2,0,0,0,2021-04-28,2021-04-28T23:19:15Z
Total cases,29749,123,5449,165,1550,719,234,20515,994,2021-04-28,2021-04-28T23:19:15Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-28,2021-04-28T23:19:15Z
Tests in last 7 days,294365,2140,65364,6534,32124,21521,4346,100774,61562,2021-04-28,2021-04-28T23:19:15Z
"Tests in last 7 days per 100,000 population",1161,502,808,2655,631,1228,813,1528,2348,2021-04-28,2021-04-28T23:19:15Z
Total tests,16746095,198920,5623066,175528,2446266,1259490,210249,5777123,1055453,2021-04-28,2021-04-28T23:19:15Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-28,2021-04-28T23:19:15Z
