name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,237,0,123,21,17,29,0,19,28,NA,2021-05-06T23:15:33Z
Locally acquired last 24 hours,2,0,2,0,0,0,0,0,0,NA,2021-05-06T23:15:33Z
Overseas acquired last 24 hours,19,0,9,1,3,1,0,2,3,NA,2021-05-06T23:15:33Z
Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,NA,2021-05-06T23:15:33Z
Locally acquired last 7 days,5,0,2,0,0,0,0,0,3,NA,2021-05-06T23:15:33Z
Overseas acquired last 7 days,93,0,50,2,10,9,0,10,12,NA,2021-05-06T23:15:33Z
Under investigation last 7 days,1,0,0,0,0,1,0,0,0,NA,2021-05-06T23:15:33Z
Overseas,7485,95,3330,163,1243,548,85,1115,906,NA,2021-05-06T23:15:33Z
Locally acquired - contact of confirmed case,17962,25,1644,2,264,152,141,15648,86,NA,2021-05-06T23:15:33Z
Locally acquired - unknown contact,4285,1,452,0,41,9,5,3763,14,NA,2021-05-06T23:15:33Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,NA,2021-05-06T23:15:33Z
Under investigation,0,0,0,0,0,0,0,0,0,NA,2021-05-06T23:15:33Z
Total cases,29886,124,5516,167,1571,735,234,20526,1013,NA,2021-05-06T23:15:33Z
Total deaths,910,3,54,0,7,4,13,820,9,NA,2021-05-06T23:15:33Z
Tests in last 7 days,284304,2379,69241,5665,32612,22777,3740,104975,42915,NA,2021-05-06T23:15:33Z
"Tests in last 7 days per 100,000 population",1121,558,856,2302,640,1300,700,1592,1637,NA,2021-05-06T23:15:33Z
Total tests,17080821,201747,5705201,182186,2485240,1286392,214553,5898989,1106513,NA,2021-05-06T23:15:33Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,NA,2021-05-06T23:15:33Z
