name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,220,0,95,38,14,24,0,21,28,2021-04-23,2021-04-23T23:20:23Z
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-23,2021-04-23T23:20:23Z
Overseas acquired last 24 hours,36,0,18,12,4,0,0,2,0,2021-04-23,2021-04-23T23:20:23Z
Under investigation last 24 hours,1,0,0,0,0,1,0,0,0,2021-04-23,2021-04-23T23:20:23Z
Locally acquired last 7 days,3,0,1,0,0,0,0,0,2,2021-04-23,2021-04-23T23:20:23Z
Overseas acquired last 7 days,142,0,54,36,8,16,0,14,14,2021-04-23,2021-04-23T23:20:23Z
Under investigation last 7 days,1,0,0,0,0,1,0,0,0,2021-04-23,2021-04-23T23:20:23Z
Overseas,7246,94,3235,145,1196,515,85,1096,880,2021-04-23,2021-04-23T23:20:23Z
Locally acquired - contact of confirmed case,17955,25,1643,2,264,152,141,15647,81,2021-04-23,2021-04-23T23:20:23Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-23,2021-04-23T23:20:23Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-23,2021-04-23T23:20:23Z
Under investigation,1,0,0,0,0,1,0,0,0,2021-04-23,2021-04-23T23:20:23Z
Total cases,29639,123,5418,149,1524,703,234,20506,982,2021-04-23,2021-04-23T23:20:23Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-23,2021-04-23T23:20:23Z
Tests in last 7 days,218624,2295,62495,6080,29975,19232,3683,78234,16630,2021-04-23,2021-04-23T23:20:23Z
"Tests in last 7 days per 100,000 population",862,539,773,2471,589,1098,689,1186,634,2021-04-23,2021-04-23T23:20:23Z
Total tests,16522373,197464,5577952,170749,2422128,1244195,207242,5703533,999110,2021-04-23,2021-04-23T23:20:23Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-23,2021-04-23T23:20:23Z
