name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,276,1,119,49,24,32,0,23,28,2021-04-29,2021-04-29T23:16:39Z
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-29,2021-04-29T23:16:39Z
Overseas acquired last 24 hours,27,1,15,0,4,2,0,1,4,2021-04-29,2021-04-29T23:16:39Z
Under investigation last 24 hours,2,0,0,0,0,2,0,0,0,2021-04-29,2021-04-29T23:16:39Z
Locally acquired last 7 days,3,0,0,0,0,0,0,1,2,2021-04-29,2021-04-29T23:16:39Z
Overseas acquired last 7 days,158,1,64,28,24,16,0,11,14,2021-04-29,2021-04-29T23:16:39Z
Under investigation last 7 days,10,0,0,0,2,8,0,0,0,2021-04-29,2021-04-29T23:16:39Z
Overseas,7381,95,3280,161,1228,533,85,1105,894,2021-04-29,2021-04-29T23:16:39Z
Locally acquired - contact of confirmed case,17959,25,1644,2,264,152,141,15648,83,2021-04-29,2021-04-29T23:16:39Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-29,2021-04-29T23:16:39Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-29,2021-04-29T23:16:39Z
Under investigation,2,0,0,0,0,2,0,0,0,2021-04-29,2021-04-29T23:16:39Z
Total cases,29779,124,5464,165,1556,722,234,20516,998,2021-04-29,2021-04-29T23:16:39Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-29,2021-04-29T23:16:39Z
Tests in last 7 days,307601,2348,67994,6610,33321,22367,4201,103714,67046,2021-04-29,2021-04-29T23:16:39Z
"Tests in last 7 days per 100,000 population",1213,551,841,2686,654,1276,786,1573,2557,2021-04-29,2021-04-29T23:16:39Z
Total tests,16796517,199368,5635960,176521,2452628,1263615,210813,5794014,1063598,2021-04-29,2021-04-29T23:16:39Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-29,2021-04-29T23:16:39Z
